"Ticker.symbol","Company","GICS.Sector"
"AMZN","Amazon.com Inc","Consumer Discretionary"
"CMCSA","Comcast Corp.","Consumer Discretionary"
"DIS","The Walt Disney Company","Consumer Discretionary"
"F","Ford Motor","Consumer Discretionary"
"FOXA","Twenty-First Century Fox","Consumer Discretionary"
"HD","Home Depot","Consumer Discretionary"
"LOW","Lowes Cos.","Consumer Discretionary"
"MCD","McDonalds Corp.","Consumer Discretionary"
"NKE","NIKE Inc.","Consumer Discretionary"
"SBUX","Starbucks Corp.","Consumer Discretionary"
"TGT","Target Corp.","Consumer Discretionary"
"TWX","Time Warner Inc.","Consumer Discretionary"
"CL","Colgate-Palmolive","Consumer Staples"
"COST","Costco Co.","Consumer Staples"
"CVS","CVS Caremark Corp.","Consumer Staples"
"KO","The Coca Cola Company","Consumer Staples"
"MDLZ","Mondelez International","Consumer Staples"
"MO","Altria Group Inc","Consumer Staples"
"PEP","PepsiCo Inc.","Consumer Staples"
"PG","Procter & Gamble","Consumer Staples"
"WAG","Walgreen Co.","Consumer Staples"
"WMT","Wal-Mart Stores","Consumer Staples"
"APA","Apache Corporation","Energy"
"APC","Anadarko Petroleum Corp","Energy"
"COP","ConocoPhillips","Energy"
"CVX","Chevron Corp.","Energy"
"DVN","Devon Energy Corp.","Energy"
"HAL","Halliburton Co.","Energy"
"NOV","National Oilwell Varco Inc.","Energy"
"OXY","Occidental Petroleum","Energy"
"SLB","Schlumberger Ltd.","Energy"
"XOM","Exxon Mobil Corp.","Energy"
"AIG","American International Group","Financials"
"ALL","Allstate Corp","Financials"
"AXP","American Express Co","Financials"
"BAC","Bank of America Corp","Financials"
"BK","The Bank of New York Mellon Corp.","Financials"
"BRK.B","Berkshire Hathaway","Financials"
"C","Citigroup Inc.","Financials"
"COF","Capital One Financial","Financials"
"GS","Goldman Sachs Group","Financials"
"JPM","JPMorgan Chase & Co.","Financials"
"MET","MetLife Inc.","Financials"
"MS","Morgan Stanley","Financials"
"SPG","Simon Property Group Inc","Financials"
"USB","U.S. Bancorp","Financials"
"WFC","Wells Fargo","Financials"
"ABT","Abbott Laboratories","Health Care"
"AMGN","Amgen Inc","Health Care"
"BAX","Baxter International Inc.","Health Care"
"BMY","Bristol-Myers Squibb","Health Care"
"GILD","Gilead Sciences","Health Care"
"JNJ","Johnson & Johnson","Health Care"
"LLY","Lilly (Eli) & Co.","Health Care"
"MDT","Medtronic Inc.","Health Care"
"MRK","Merck & Co.","Health Care"
"PFE","Pfizer Inc.","Health Care"
"UNH","United Health Group Inc.","Health Care"
"BA","Boeing Company","Industrials"
"CAT","Caterpillar Inc.","Industrials"
"EMR","Emerson Electric","Industrials"
"FDX","FedEx Corporation","Industrials"
"GD","General Dynamics","Industrials"
"GE","General Electric","Industrials"
"HON","Honeywell Intl Inc.","Industrials"
"LMT","Lockheed Martin Corp.","Industrials"
"MMM","3M Company","Industrials"
"NSC","Norfolk Southern Corp.","Industrials"
"RTN","Raytheon Co.","Industrials"
"UNP","Union Pacific","Industrials"
"UPS","United Parcel Service","Industrials"
"UTX","United Technologies","Industrials"
"AAPL","Apple Inc.","Information Technology"
"ACN","Accenture plc","Information Technology"
"CSCO","Cisco Systems","Information Technology"
"EBAY","eBay Inc.","Information Technology"
"EMC","EMC Corp.","Information Technology"
"HPQ","Hewlett-Packard","Information Technology"
"IBM","International Bus. Machines","Information Technology"
"INTC","Intel Corp.","Information Technology"
"MSFT","Microsoft Corp.","Information Technology"
"ORCL","Oracle Corp.","Information Technology"
"QCOM","QUALCOMM Inc.","Information Technology"
"TXN","Texas Instruments","Information Technology"
"DD","Du Pont (E.I.)","Materials"
"DOW","Dow Chemical","Materials"
"FCX","Freeport-McMoran Cp & Gld","Materials"
"MON","Monsanto Co.","Materials"
"T","AT&T Inc","Telecommunications Services"
"VZ","Verizon Communications","Telecommunications Services"
"AEP","American Electric Power","Utilities"
"EXC","Exelon Corp.","Utilities"
"SO","Southern Co.","Utilities"
